"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"3625","RT @dailysoundnfury: The GOP has turned logic on its head in Georgia, and it's going to cost them.
#2020Election  #DavidPerdue  #DonaldTrum…",FALSE,0,NA,2020-12-04 18:46:48,FALSE,NA,"1334932180573753345",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SusanDragon5",2,TRUE,FALSE,NA,NA
"3626","@washingtonpost @ericeweir to #TrumpParty faithfuls

therapy session
monotonous sound of ""we won
this election""… https://t.co/mEYISoJ0SB",FALSE,6,"washingtonpost",2020-12-04 18:46:42,TRUE,"1334543032117571584","1334932157639368710","2467791","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","StoryHaikuTanka",2,FALSE,FALSE,NA,NA
"3627","Whilst #DonaldTrump will leave the ⁦@WhiteHouse in January it looks like his legacy will live on, unfortunately… https://t.co/uQQ8cug6Pd",FALSE,0,NA,2020-12-04 18:45:24,TRUE,NA,"1334931828592037894",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Heronman68",0,FALSE,FALSE,NA,NA
"3628","@RyanHal94515970 @TheLeadCNN @CNN @jaketapper Its a conspiracy so amazing - so deep - so wide - that we can't find… https://t.co/eUjwHMj996",FALSE,0,"RyanHal94515970",2020-12-04 18:45:14,TRUE,"1334703068525383682","1334931786971930624","1314720794799345664","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","mrjustsaying",0,FALSE,FALSE,NA,NA
"3629","RT @ThePerezHilton: Former representative from Minnesota, #MicheleBachmann, with some LOLs! Thank you! I needed these laughs!! 🤡 #DonaldTru…",FALSE,0,NA,2020-12-04 18:44:06,FALSE,NA,"1334931503495593984",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BellaDonaModels",1,TRUE,FALSE,NA,NA
"3630","Hey @POTUS, will @sendavidperdue intro you tomorrow as Loser-in-Chief or just ""outgoing president""?… https://t.co/udZQkyqjgX",FALSE,0,NA,2020-12-04 18:43:35,TRUE,NA,"1334931372746698752",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","mnclaes",0,FALSE,FALSE,NA,NA
"3631","@MeidasTouch So hash tag Trends like #DiaperDon begin when someone Tweets something like #DiaperDon &amp; then lots of… https://t.co/MYwWNmKiNo",FALSE,0,"MeidasTouch",2020-12-04 18:42:53,TRUE,"1334653895860088834","1334931196443291651","1243560408025198593","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AddsEvery",0,FALSE,FALSE,NA,NA
"3632","@AndrewDesiderio @anitakumar01 Haha, because @realDonaldTrump has such a rich history of giving a shit about what a… https://t.co/kmvHuucnsK",FALSE,0,"AndrewDesiderio",2020-12-04 18:42:05,TRUE,"1334651825656639495","1334930994495770626","427630477","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","wcwyt",0,FALSE,FALSE,NA,NA
"3633","One day we’ll look back in and thank God this crepe old corpse didn’t become our president. And I’m not talking abo… https://t.co/0F3v4dMfnH",FALSE,0,NA,2020-12-04 18:40:45,TRUE,NA,"1334930659534639105",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","potushariylegs",0,FALSE,FALSE,NA,NA
"3634","RT @TheReal_NRP: Rudolph the Giuliani as sung by Donald trump (yes I know he hasn’t been fired) #impressions #comedy #RudyGuilliani #donald…",FALSE,0,NA,2020-12-04 18:40:24,FALSE,NA,"1334930569294192643",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fmurphytervalon",6,TRUE,FALSE,NA,NA
